18|22
MapTile1|TopLeft.png|1
MapTile2|TopWall.png|1
MapTile3|TopWall.png|1
MapTile4|TopWall.png|1
MapTile5|TopWall.png|1
MapTile6|TopWall.png|1
MapTile7|TopWall.png|1
MapTile8|TopWall.png|1
MapTile9|TopWall.png|1
MapTile10|TopRight.png|1
MapTile11|TopWall.png|1
MapTile12|TopWall.png|1
MapTile13|TopWall.png|1
MapTile14|TopWall.png|1
MapTile15|TopWall.png|1
MapTile16|TopLeft.png|1
MapTile17|TopWall.png|1
MapTile18|TopWall.png|1
MapTile19|TopWall.png|1
MapTile20|TopWall.png|1
MapTile21|TopRight.png|1
MapTile22|LeftWall.png|1
MapTile25|LeftWall.png|1
MapTile31|RightWall.png|1
MapTile42|RightWall.png|1
MapTile44|LeftWall.png|1
MapTile47|TopWall.png|1
MapTile48|TopRight.png|1
MapTile49|BottomWall.png|1
MapTile50|BottomWall.png|1
MapTile51|BottomWall.png|1
MapTile53|BottomRight.png|1
MapTile59|LeftWall.png|1
MapTile61|TopRight.png|1
MapTile64|RightWall.png|1
MapTile66|LeftWall.png|1
MapTile69|BottomWall.png|1
MapTile70|BottomRight.png|1
MapTile81|LeftWall.png|1
MapTile84|BottomLeft.png|1
MapTile86|RightWall.png|1
MapTile88|LeftWall.png|1
MapTile103|LeftWall.png|1
MapTile108|RightWall.png|1
MapTile110|LeftWall.png|1
MapTile114|RightWall.png|1
MapTile117|TopLeft.png|1
MapTile119|TopWall.png|1
MapTile120|TopWall.png|1
MapTile121|TopWall.png|1
MapTile122|TopWall.png|1
MapTile123|TopWall.png|1
MapTile124|TopRight.png|1
MapTile130|RightWall.png|1
MapTile132|BottomLeft.png|1
MapTile133|BottomWall.png|1
MapTile134|BottomWall.png|1
MapTile135|BottomWall.png|1
MapTile136|BottomRight.png|1
MapTile139|LeftWall.png|1
MapTile146|RightWall.png|1
MapTile149|RightWall.png|1
MapTile152|RightWall.png|1
MapTile154|LeftWall.png|1
MapTile161|LeftWall.png|1
MapTile163|RightWall.png|1
MapTile164|BottomWall.png|1
MapTile165|BottomWall.png|1
MapTile171|RightWall.png|1
MapTile174|RightWall.png|1
MapTile176|LeftWall.png|1
MapTile183|LeftWall.png|1
MapTile187|RightWall.png|1
MapTile190|RightWall.png|1
MapTile193|RightWall.png|1
MapTile196|RightWall.png|1
MapTile198|LeftWall.png|1
MapTile199|TopLeft.png|1
MapTile212|RightWall.png|1
MapTile215|RightWall.png|1
MapTile217|BottomWall.png|1
MapTile218|BottomRight.png|1
MapTile220|LeftWall.png|1
MapTile223|BottomLeft.png|1
MapTile227|BottomLeft.png|1
MapTile228|BottomWall.png|1
MapTile229|BottomWall.png|1
MapTile230|BottomWall.png|1
MapTile232|BottomWall.png|1
MapTile233|BottomWall.png|1
MapTile234|BottomRight.png|1
MapTile237|RightWall.png|1
MapTile239|ExitTile.png|2
MapTile240|ExitTile.png|2
MapTile242|BottomLeft.png|1
MapTile259|RightWall.png|1
MapTile260|TopWall.png|1
MapTile261|TopWall.png|1
MapTile262|TopRight.png|1
MapTile264|BottomRight.png|1
MapTile267|TopRight.png|1
MapTile281|RightWall.png|1
MapTile284|RightWall.png|1
MapTile286|BottomLeft.png|1
MapTile287|BottomWall.png|1
MapTile289|RightWall.png|1
MapTile292|TopLeft.png|1
MapTile294|TopWall.png|1
MapTile295|TopWall.png|1
MapTile296|TopWall.png|1
MapTile297|TopWall.png|1
MapTile298|TopWall.png|1
MapTile299|TopRight.png|1
MapTile306|RightWall.png|1
MapTile309|RightWall.png|1
MapTile311|RightWall.png|1
MapTile314|LeftWall.png|1
MapTile324|TopLeft.png|1
MapTile325|TopWall.png|1
MapTile327|TopWall.png|1
MapTile328|TopRight.png|1
MapTile330|TopLeft.png|1
MapTile331|TopWall.png|1
MapTile333|BottomRight.png|1
MapTile338|TopLeft.png|1
MapTile339|TopRight.png|1
MapTile340|TopLeft.png|1
MapTile343|RightWall.png|1
MapTile346|LeftWall.png|1
MapTile350|RightWall.png|1
MapTile352|LeftWall.png|1
MapTile358|LeftWall.png|1
MapTile365|RightWall.png|1
MapTile372|RightWall.png|1
MapTile374|BottomLeft.png|1
MapTile375|BottomWall.png|1
MapTile376|BottomWall.png|1
MapTile377|BottomWall.png|1
MapTile378|BottomWall.png|1
MapTile379|BottomWall.png|1
MapTile380|BottomLeft.png|1
MapTile381|BottomWall.png|1
MapTile382|BottomWall.png|1
MapTile383|BottomWall.png|1
MapTile384|BottomWall.png|1
MapTile385|BottomWall.png|1
MapTile386|BottomWall.png|1
MapTile387|BottomRight.png|1
MapTile388|BottomWall.png|1
MapTile389|BottomWall.png|1
MapTile390|BottomLeft.png|1
MapTile391|BottomWall.png|1
MapTile392|BottomWall.png|1
MapTile393|BottomWall.png|1
MapTile394|BottomRight.png|1
