18|21
MapTile0|TopLeft.png|1
MapTile1|TopWall.png|1
MapTile2|TopWall.png|1
MapTile3|TopWall.png|1
MapTile4|TopWall.png|1
MapTile5|TopWall.png|1
MapTile6|TopWall.png|1
MapTile7|TopWall.png|1
MapTile8|TopWall.png|1
MapTile9|TopRight.png|1
MapTile10|TopWall.png|1
MapTile11|TopWall.png|1
MapTile12|TopWall.png|1
MapTile13|TopWall.png|1
MapTile14|TopWall.png|1
MapTile15|TopLeft.png|1
MapTile16|TopWall.png|1
MapTile17|TopWall.png|1
MapTile18|TopWall.png|1
MapTile19|TopWall.png|1
MapTile20|TopRight.png|1
MapTile21|LeftWall.png|1
MapTile24|LeftWall.png|1
MapTile30|RightWall.png|1
MapTile41|RightWall.png|1
MapTile42|LeftWall.png|1
MapTile45|TopWall.png|1
MapTile46|TopRight.png|1
MapTile47|BottomWall.png|1
MapTile48|BottomWall.png|1
MapTile49|BottomWall.png|1
MapTile51|BottomRight.png|1
MapTile57|LeftWall.png|1
MapTile59|TopRight.png|1
MapTile62|RightWall.png|1
MapTile63|LeftWall.png|1
MapTile66|BottomWall.png|1
MapTile67|BottomRight.png|1
MapTile78|LeftWall.png|1
MapTile80|RightWall.png|1
MapTile81|BottomWall.png|1
MapTile83|RightWall.png|1
MapTile84|LeftWall.png|1
MapTile99|LeftWall.png|1
MapTile104|RightWall.png|1
MapTile105|LeftWall.png|1
MapTile109|RightWall.png|1
MapTile112|TopLeft.png|1
MapTile114|TopWall.png|1
MapTile115|TopWall.png|1
MapTile116|TopWall.png|1
MapTile117|TopWall.png|1
MapTile118|TopWall.png|1
MapTile119|TopWall.png|1
MapTile120|LeftWall.png|1
MapTile125|RightWall.png|1
MapTile126|BottomLeft.png|1
MapTile127|BottomWall.png|1
MapTile128|BottomWall.png|1
MapTile129|BottomWall.png|1
MapTile130|BottomRight.png|1
MapTile133|LeftWall.png|1
MapTile141|LeftWall.png|1
MapTile143|RightWall.png|1
MapTile146|RightWall.png|1
MapTile147|LeftWall.png|1
MapTile154|LeftWall.png|1
MapTile157|BottomLeft.png|1
MapTile158|BottomWall.png|1
MapTile164|RightWall.png|1
MapTile167|RightWall.png|1
MapTile168|LeftWall.png|1
MapTile175|LeftWall.png|1
MapTile179|RightWall.png|1
MapTile183|LeftWall.png|1
MapTile185|RightWall.png|1
MapTile188|RightWall.png|1
MapTile189|LeftWall.png|1
MapTile190|TopLeft.png|1
MapTile204|LeftWall.png|1
MapTile206|RightWall.png|1
MapTile208|BottomWall.png|1
MapTile209|BottomRight.png|1
MapTile210|LeftWall.png|1
MapTile213|BottomLeft.png|1
MapTile217|BottomLeft.png|1
MapTile218|BottomWall.png|1
MapTile219|BottomWall.png|1
MapTile220|BottomWall.png|1
MapTile222|BottomWall.png|1
MapTile223|BottomWall.png|1
MapTile224|BottomWall.png|1
MapTile225|LeftWall.png|1
MapTile227|RightWall.png|1
MapTile229|ExitTile.png|2
MapTile230|ExitTile.png|2
MapTile231|BottomLeft.png|1
MapTile248|RightWall.png|1
MapTile249|TopWall.png|1
MapTile250|TopWall.png|1
MapTile251|TopRight.png|1
MapTile252|BottomRight.png|1
MapTile255|TopRight.png|1
MapTile269|RightWall.png|1
MapTile272|RightWall.png|1
MapTile273|BottomLeft.png|1
MapTile274|BottomWall.png|1
MapTile276|RightWall.png|1
MapTile279|TopLeft.png|1
MapTile281|TopWall.png|1
MapTile282|TopWall.png|1
MapTile283|TopWall.png|1
MapTile284|TopWall.png|1
MapTile285|TopWall.png|1
MapTile286|TopRight.png|1
MapTile293|RightWall.png|1
MapTile294|LeftWall.png|1
MapTile295|RightWall.png|1
MapTile297|RightWall.png|1
MapTile300|LeftWall.png|1
MapTile310|TopLeft.png|1
MapTile311|TopWall.png|1
MapTile313|TopWall.png|1
MapTile314|TopRight.png|1
MapTile315|TopLeft.png|1
MapTile316|TopWall.png|1
MapTile318|BottomRight.png|1
MapTile323|TopLeft.png|1
MapTile324|TopRight.png|1
MapTile325|TopLeft.png|1
MapTile328|RightWall.png|1
MapTile331|LeftWall.png|1
MapTile335|RightWall.png|1
MapTile336|LeftWall.png|1
MapTile342|LeftWall.png|1
MapTile349|RightWall.png|1
MapTile356|RightWall.png|1
MapTile357|BottomLeft.png|1
MapTile358|BottomWall.png|1
MapTile359|BottomWall.png|1
MapTile360|BottomWall.png|1
MapTile361|BottomWall.png|1
MapTile362|BottomWall.png|1
MapTile363|BottomLeft.png|1
MapTile364|BottomWall.png|1
MapTile365|BottomWall.png|1
MapTile366|BottomWall.png|1
MapTile367|BottomWall.png|1
MapTile368|BottomWall.png|1
MapTile369|BottomWall.png|1
MapTile370|BottomRight.png|1
MapTile371|BottomWall.png|1
MapTile372|BottomWall.png|1
MapTile373|BottomLeft.png|1
MapTile374|BottomWall.png|1
MapTile375|BottomWall.png|1
MapTile376|BottomWall.png|1
MapTile377|BottomRight.png|1
